figure_type;qa_pair_type;rouge1_fmeasure;rouge1_precision;rouge1_recall;rougeL_fmeasure;rougeL_precision;rougeL_recall;bertscore_f1;bertscore_precision;bertscore_recall
Architecture Diagram;closed-ended finite answer set non-binary visual;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
Graph;closed-ended infinite answer set visual;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Line Chart;closed-ended finite answer set non-binary non-visual;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
Line Chart;closed-ended finite answer set non-binary visual;0.33;0.5;0.25;0.33;0.5;0.25;0.94;0.97;0.92
Line Chart;unanswerable;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
bar chart;closed-ended finite answer set non-binary non-visual;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
bar chart;closed-ended finite answer set non-binary visual;0.67;0.67;0.67;0.67;0.67;0.67;1.0;1.0;1.0
box plot;closed-ended finite answer set non-binary non-visual;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
box plot;closed-ended finite answer set non-binary visual;0.5;1.0;0.33;0.5;1.0;0.33;0.83;0.89;0.77
box plot;closed-ended infinite answer set non-visual;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
confusion matrix;closed-ended finite answer set binary non-visual;0.5;0.5;0.5;0.5;0.5;0.5;0.98;0.98;0.97
confusion matrix;closed-ended finite answer set non-binary non-visual;0.67;1.0;0.5;0.67;1.0;0.5;0.91;0.93;0.88
confusion matrix;closed-ended finite answer set non-binary visual;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
graph;closed-ended infinite answer set non-visual;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
graph;closed-ended infinite answer set visual;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
histogram;closed-ended finite answer set binary visual;1.0;1.0;1.0;1.0;1.0;1.0;0.94;0.96;0.92
line chart;closed-ended finite answer set binary non-visual;0.92;0.89;1.0;0.92;0.89;1.0;0.93;0.94;0.93
line chart;closed-ended finite answer set binary visual;0.45;0.45;0.56;0.45;0.45;0.56;0.93;0.94;0.92
line chart;closed-ended finite answer set non-binary non-visual;0.6;0.6;0.6;0.6;0.6;0.6;1.0;1.0;1.0
line chart;closed-ended finite answer set non-binary visual;0.0;0.0;0.11;0.0;0.0;0.11;0.98;0.97;0.98
line chart;closed-ended infinite answer set non-visual;0.7;0.75;0.66;0.7;0.75;0.66;0.94;0.94;0.94
line chart;closed-ended infinite answer set visual;0.46;0.43;0.61;0.46;0.43;0.61;0.9;0.89;0.91
line chart;unanswerable;0.82;0.82;0.85;0.81;0.81;0.83;0.97;0.96;0.97
neural networks;closed-ended finite answer set binary non-visual;0.0;0.0;0.0;0.0;0.0;0.0;0.81;0.76;0.87
neural networks;closed-ended finite answer set non-binary non-visual;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
pie chart;closed-ended finite answer set non-binary non-visual;0.86;1.0;0.75;0.86;1.0;0.75;0.98;0.99;0.97
pie chart;closed-ended finite answer set non-binary visual;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
scatter plot;closed-ended finite answer set binary visual;1.0;1.0;1.0;1.0;1.0;1.0;0.96;0.97;0.94
scatter plot;closed-ended finite answer set non-binary non-visual;0.67;0.67;0.67;0.67;0.67;0.67;0.94;0.94;0.94
scatter plot;closed-ended finite answer set non-binary visual;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
scatter plot;closed-ended infinite answer set non-visual;0.0;0.0;0.0;0.0;0.0;0.0;0.88;0.89;0.88
scatter plot;closed-ended infinite answer set visual;1.0;1.0;1.0;1.0;1.0;1.0;0.96;0.96;0.96
scatter plot;unanswerable;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
tree;closed-ended finite answer set binary visual;1.0;1.0;1.0;1.0;1.0;1.0;0.96;0.97;0.94
tree;closed-ended finite answer set non-binary visual;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.81;0.78
tree;unanswerable;0.11;0.07;0.21;0.11;0.07;0.21;0.81;0.77;0.85
venn diagram;closed-ended finite answer set binary non-visual;1.0;1.0;1.0;1.0;1.0;1.0;0.96;0.97;0.94
